"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"3077","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Gypsophila",,"PreservedSpecimen","Magnoliophyta","curvifolia","2200",,"Gypsophila curvifolia Fenzl","ICBN","1999-07-31 00:00:00.0","TR","1043","Nigde","Fenzl","Caryophyllales","Asia","B"
"3078","Plantaginaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Plantago",,"PreservedSpecimen","Magnoliophyta","media","2200",,"Plantago media L.","ICBN","1999-07-31 00:00:00.0","TR","1044","Nigde","L.","Plantaginales","Asia","B"
"3079","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Minuartia",,"PreservedSpecimen","Magnoliophyta","juniperina","2200",,"Minuartia juniperina (L.) Maire & Petitm.","ICBN","1999-07-31 00:00:00.0","TR","1045","Nigde","(L.) Maire & Petitm.","Caryophyllales","Asia","B"
"3080","Apiaceae","BGBM","lithophila",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Pimpinella","Subspecies","PreservedSpecimen","Magnoliophyta","tragium","2200",,"Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin","ICBN","1999-07-31 00:00:00.0","TR","1046","Nigde","(I. Schischk.) Tutin","Apiales","Asia","B"
"3081","Campanulaceae","BGBM","rigidum",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Asyneuma","Subspecies","PreservedSpecimen","Magnoliophyta","rigidum","2200",,"Asyneuma rigidum subsp. rigidum","ICBN","1999-07-31 00:00:00.0","TR","1047","Nigde",,"Campanulales","Asia","B"
"3082","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Silene","Variety","PreservedSpecimen","Magnoliophyta","armena","2200",,"Silene armena var. armena","ICBN","1999-07-31 00:00:00.0","TR","1048","Nigde",,"Caryophyllales","Asia","B"
"3083","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Sideritis",,"PreservedSpecimen","Magnoliophyta","aff. phlomoides","2200",,"Sideritis aff. phlomoides P.H.Davis & Hub.-Mor.","ICBN","1999-07-31 00:00:00.0","TR","1049","Nigde","P.H.Davis & Hub.-Mor.","Lamiales","Asia","B"
"3084","Brassicaceae","BGBM","compactum",,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Aethionema","Subspecies","PreservedSpecimen","Magnoliophyta","speciosum","2180",,"Aethionema speciosum subsp. compactum Hartvig & Strid","ICBN","1999-06-21 00:00:00.0","TR","105","Mugla","Hartvig & Strid","Capparales","Asia","B"
"3085","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Dianthus",,"PreservedSpecimen","Magnoliophyta","anatolicus","2120",,"Dianthus anatolicus Boiss.","ICBN","1999-07-31 00:00:00.0","TR","1050","Nigde","Boiss.","Caryophyllales","Asia","B"
"3086","Globulariaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Globularia",,"PreservedSpecimen","Magnoliophyta","trichosantha","2120",,"Globularia trichosantha J.C.Fisch. & C.A.Mey.","ICBN","1999-07-31 00:00:00.0","TR","1051","Nigde","J.C.Fisch. & C.A.Mey.","Scrophulariales","Asia","B"
"3087","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Aethionema",,"PreservedSpecimen","Magnoliophyta","iberideum","2120",,"Aethionema iberideum (Boiss.) Boiss.","ICBN","1999-07-31 00:00:00.0","TR","1052","Nigde","(Boiss.) Boiss.","Capparales","Asia","B"
"3088","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Salvia",,"PreservedSpecimen","Magnoliophyta","virgata","2350",,"Salvia virgata Jacq.","ICBN","1999-07-30 00:00:00.0","TR","1054","Nigde","Jacq.","Lamiales","Asia","B"
"3089","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Aethionema",,"PreservedSpecimen","Magnoliophyta","capitatum","2350",,"Aethionema capitatum Boiss. & Balansa","ICBN","1999-07-30 00:00:00.0","TR","1055","Nigde","Boiss. & Balansa","Capparales","Asia","B"
"3090","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Erysimum",,"PreservedSpecimen","Magnoliophyta","pycnophyllum","2350",,"Erysimum pycnophyllum Gay","ICBN","1999-07-30 00:00:00.0","TR","1056","Nigde","Gay","Capparales","Asia","B"
"3091","Rosaceae","BGBM","muricata",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba","Subspecies","PreservedSpecimen","Magnoliophyta","minor","2350",,"Sanguisorba minor subsp. muricata (Spach) Briq.","ICBN","1999-07-30 00:00:00.0","TR","1057","Nigde","(Spach) Briq.","Rosales","Asia","B"
"3092","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea",,"PreservedSpecimen","Magnoliophyta","virgata ?A?","2350",,"Centaurea virgata ?A? Lam.","ICBN","1999-07-30 00:00:00.0","TR","1058","Nigde","Lam.","Asterales","Asia","B"
"3093","Santalaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Thesium",,"PreservedSpecimen","Magnoliophyta","billardieri","2350",,"Thesium billardieri Boiss.","ICBN","1999-07-30 00:00:00.0","TR","1059","Nigde","Boiss.","Santalales","Asia","B"
"3094","Poaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Poa",,"PreservedSpecimen","Magnoliophyta","bulbosa agg.","2180",,"Poa bulbosa agg. L.","ICBN","1999-06-21 00:00:00.0","TR","106","Mugla","L.","Cyperales","Asia","B"
"3095","Cupressaceae","BGBM","oxycedrus",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Juniperus","Subspecies","PreservedSpecimen","Pinophyta","oxycedrus","2350",,"Juniperus oxycedrus subsp. oxycedrus","ICBN","1999-07-30 00:00:00.0","TR","1060","Nigde",,"Pinales","Asia","B"
"3096","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Silene",,"PreservedSpecimen","Magnoliophyta","pruinosa","2350",,"Silene pruinosa Boiss.","ICBN","1999-07-30 00:00:00.0","TR","1061","Nigde","Boiss.","Caryophyllales","Asia","B"
"3097","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Galium",,"PreservedSpecimen","Magnoliophyta","spec.","2350",,"Galium spec.","ICBN","1999-07-30 00:00:00.0","TR","1062","Nigde",,"Rubiales","Asia","B"
"3098","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria",,"PreservedSpecimen","Magnoliophyta","macrantha","2350",,"Koeleria macrantha (Ledeb.) Schult.","ICBN","1999-07-30 00:00:00.0","TR","1063","Nigde","(Ledeb.) Schult.","Cyperales","Asia","B"
"3099","Scrophulariaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karagöl, 2720m","Verbascum",,"PreservedSpecimen","Magnoliophyta","spec.","2720",,"Verbascum spec.","ICBN","1999-07-31 00:00:00.0","TR","1065","Nigde",,"Scrophulariales","Asia","B"
"3100","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m","Marrubium",,"PreservedSpecimen","Magnoliophyta","cephalanthum","2600",,"Marrubium cephalanthum Boiss. & Noe","ICBN","1999-07-31 00:00:00.0","TR","1066","Nigde","Boiss. & Noe","Lamiales","Asia","B"
"3101","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m","Helichrysum",,"PreservedSpecimen","Magnoliophyta","pallasii","2600",,"Helichrysum pallasii Ledeb.","ICBN","1999-07-31 00:00:00.0","TR","1067","Nigde","Ledeb.","Asterales","Asia","B"
"3102","Caryophyllaceae","BGBM","oreina",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Minuartia","Subspecies","PreservedSpecimen","Magnoliophyta","recurva","2650",,"Minuartia recurva subsp. oreina (Mattf.) McNeill","ICBN","1999-08-01 00:00:00.0","TR","1068","Nigde","(Mattf.) McNeill","Caryophyllales","Asia","B"
"3103","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Tripleurospermum",,"PreservedSpecimen","Magnoliophyta","kotschyi","2650",,"Tripleurospermum kotschyi (Boiss.) E.Hossain","ICBN","1999-08-01 00:00:00.0","TR","1069","Nigde","(Boiss.) E.Hossain","Asterales","Asia","B"
"3104","Scrophulariaceae","BGBM","cuneifolia",,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Veronica","Subspecies","PreservedSpecimen","Magnoliophyta","cuneifolia","2180",,"Veronica cuneifolia subsp. cuneifolia","ICBN","1999-06-21 00:00:00.0","TR","107","Mugla",,"Scrophulariales","Asia","B"
"3105","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus",,"PreservedSpecimen","Magnoliophyta","amoenus","2650",,"Astragalus amoenus Fenzl","ICBN","1999-08-01 00:00:00.0","TR","1070","Nigde","Fenzl","Fabales","Asia","B"
"3106","Scrophulariaceae","BGBM","pseudocinerea",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Veronica","Subspecies","PreservedSpecimen","Magnoliophyta","thymoides","2650",,"Veronica thymoides subsp. pseudocinerea M.A.Fischer","ICBN","1999-08-01 00:00:00.0","TR","1071","Nigde","M.A.Fischer","Scrophulariales","Asia","B"
"3107","Plantaginaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Plantago",,"PreservedSpecimen","Magnoliophyta","holosteum","2650",,"Plantago holosteum Scop.","ICBN","1999-08-01 00:00:00.0","TR","1072","Nigde","Scop.","Plantaginales","Asia","B"
"3108","Plantaginaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Plantago",,"PreservedSpecimen","Magnoliophyta","lanceolata","2650",,"Plantago lanceolata L.","ICBN","1999-08-01 00:00:00.0","TR","1073","Nigde","L.","Plantaginales","Asia","B"
"3109","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Logfia",,"PreservedSpecimen","Magnoliophyta","arvensis","2650",,"Logfia arvensis (L.) Holub","ICBN","1999-08-01 00:00:00.0","TR","1074","Nigde","(L.) Holub","Asterales","Asia","B"
"3110","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Asperula",,"PreservedSpecimen","Magnoliophyta","setosa","2650",,"Asperula setosa Jaub. & Spach","ICBN","1999-08-01 00:00:00.0","TR","1075","Nigde","Jaub. & Spach","Rubiales","Asia","B"
"3111","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Scleranthus",,"PreservedSpecimen","Magnoliophyta","uncinatus","2650",,"Scleranthus uncinatus Schur","ICBN","1999-08-01 00:00:00.0","TR","1076","Nigde","Schur","Caryophyllales","Asia","B"
"3112","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Scorzonera","Variety","PreservedSpecimen","Magnoliophyta","cana","2650",,"Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.","ICBN","1999-08-01 00:00:00.0","TR","1077","Nigde","(Boiss.) D.F.Chamb.","Asterales","Asia","B"
"3113","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Poa",,"PreservedSpecimen","Magnoliophyta","bulbosa agg.","2650",,"Poa bulbosa agg. L.","ICBN","1999-08-01 00:00:00.0","TR","1078","Nigde","L.","Cyperales","Asia","B"
"3114","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium",,"PreservedSpecimen","Magnoliophyta","cilicicum","2650",,"Galium cilicicum Boiss.","ICBN","1999-08-01 00:00:00.0","TR","1079","Nigde","Boiss.","Rubiales","Asia","B"
"3115","Liliaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Gagea",,"PreservedSpecimen","Magnoliophyta","uliginosa","2180",,"Gagea uliginosa Siehe & Pascher","ICBN","1999-06-21 00:00:00.0","TR","108","Mugla","Siehe & Pascher","Liliales","Asia","B"
"3116","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus",,"PreservedSpecimen","Magnoliophyta","depressus","2650",,"Astragalus depressus L.","ICBN","1999-08-01 00:00:00.0","TR","1080","Nigde","L.","Fabales","Asia","B"
"3117","Brassicaceae","BGBM","strigosum",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum","Subspecies","PreservedSpecimen","Magnoliophyta","strigosum","2650",,"Alyssum strigosum subsp. strigosum","ICBN","1999-08-01 00:00:00.0","TR","1081","Nigde",,"Capparales","Asia","B"
"3118","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Taraxacum",,"PreservedSpecimen","Magnoliophyta","assemanii","2650",,"Taraxacum assemanii Blanche","ICBN","1999-08-01 00:00:00.0","TR","1082","Nigde","Blanche","Asterales","Asia","B"
"3119","Boraginaceae","BGBM","alpestris",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Myosotis","Subspecies","PreservedSpecimen","Magnoliophyta","alpestris","2650",,"Myosotis alpestris subsp. alpestris","ICBN","1999-08-01 00:00:00.0","TR","1083","Nigde",,"Lamiales","Asia","B"
"3120","Rubiaceae","BGBM","centrale",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium","Subspecies","PreservedSpecimen","Magnoliophyta","incanum","2650",,"Galium incanum subsp. centrale Ehrend.","ICBN","1999-08-01 00:00:00.0","TR","1084","Nigde","Ehrend.","Rubiales","Asia","B"
"3121","Polygonaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Polygonum",,"PreservedSpecimen","Magnoliophyta","arenastrum","2650",,"Polygonum arenastrum Bor.","ICBN","1999-08-01 00:00:00.0","TR","1085","Nigde","Bor.","Polygonales","Asia","B"
"3122","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Herniaria",,"PreservedSpecimen","Magnoliophyta","glabra","2650",,"Herniaria glabra L.","ICBN","1999-08-01 00:00:00.0","TR","1086","Nigde","L.","Caryophyllales","Asia","B"
"3123","Asteraceae","BGBM","extrarosularis",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Centaurea","Subspecies","PreservedSpecimen","Magnoliophyta","pichleri","2650",,"Centaurea pichleri subsp. extrarosularis (Hayek & Siehe) Wagenitz","ICBN","1999-08-01 00:00:00.0","TR","1087","Nigde","(Hayek & Siehe) Wagenitz","Asterales","Asia","B"
"3124","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Silene",,"PreservedSpecimen","Magnoliophyta","fenzlii","2650",,"Silene fenzlii Boiss. & Bal.","ICBN","1999-08-01 00:00:00.0","TR","1088","Nigde","Boiss. & Bal.","Caryophyllales","Asia","B"
"3125","Rosaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Potentilla",,"PreservedSpecimen","Magnoliophyta","meyeri","2650",,"Potentilla meyeri Boiss.","ICBN","1999-08-01 00:00:00.0","TR","1089","Nigde","Boiss.","Rosales","Asia","B"
"3126","Brassicaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Alyssum",,"PreservedSpecimen","Magnoliophyta","masmenaeum","2180",,"Alyssum masmenaeum Boiss.","ICBN","1999-06-21 00:00:00.0","TR","109","Mugla","Boiss.","Capparales","Asia","B"
"3127","Asteraceae","BGBM","plicatum",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Helichrysum","Subspecies","PreservedSpecimen","Magnoliophyta","plicatum","2650",,"Helichrysum plicatum subsp. plicatum","ICBN","1999-08-01 00:00:00.0","TR","1090","Nigde",,"Asterales","Asia","B"
"3128","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Marrubium",,"PreservedSpecimen","Magnoliophyta","heterodon","2650",,"Marrubium heterodon (Benth.) Boiss. & Balansa","ICBN","1999-08-01 00:00:00.0","TR","1091","Nigde","(Benth.) Boiss. & Balansa","Lamiales","Asia","B"
"3129","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Leontodon","Variety","PreservedSpecimen","Magnoliophyta","oxylepis","2650",,"Leontodon oxylepis var. oxylepis","ICBN","1999-08-01 00:00:00.0","TR","1092","Nigde",,"Asterales","Asia","B"
"3130","Ranunculaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Ranunculus","Variety","PreservedSpecimen","Magnoliophyta","demissus","2650",,"Ranunculus demissus var. major Boiss.","ICBN","1999-08-01 00:00:00.0","TR","1093","Nigde","Boiss.","Ranunculales","Asia","B"
"3131","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Tragopogon",,"PreservedSpecimen","Magnoliophyta","olympicus","2650",,"Tragopogon olympicus Boiss.","ICBN","1999-08-01 00:00:00.0","TR","1094","Nigde","Boiss.","Asterales","Asia","B"
"3132","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Cruciata",,"PreservedSpecimen","Magnoliophyta","taurica","2650",,"Cruciata taurica (Pall. ex Willd.) Ehrend.","ICBN","1999-08-01 00:00:00.0","TR","1095","Nigde","(Pall. ex Willd.) Ehrend.","Rubiales","Asia","B"
"3133","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Dactylis",,"PreservedSpecimen","Magnoliophyta","spec.","2650",,"Dactylis spec.","ICBN","1999-08-01 00:00:00.0","TR","1096","Nigde",,"Cyperales","Asia","B"
"3134","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Senecio",,"PreservedSpecimen","Magnoliophyta","vernalis","2650",,"Senecio vernalis Waldst. & Kit.","ICBN","1999-08-01 00:00:00.0","TR","1097","Nigde","Waldst. & Kit.","Asterales","Asia","B"
"3135","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Arenaria",,"PreservedSpecimen","Magnoliophyta","acerosa","2650",,"Arenaria acerosa Boiss.","ICBN","1999-08-01 00:00:00.0","TR","1098","Nigde","Boiss.","Caryophyllales","Asia","B"
"3136","unbekannt","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 1650m","noch unbestimmt !!!",,"PreservedSpecimen",,,"1650",,"noch unbestimmt !!!","ICBN","1999-08-01 00:00:00.0","TR","1099","Nigde",,,"Asia","B"
"3137","unbekannt","BGBM",,,"Markus Döring","Plantae","Sandras Dagi, road Agla - Serce Gedigi, above (=N) Yayla Köyü Agla. N 37°01´86´´ O 28°45´54´´, 950m","noch unbestimmt !!!",,"PreservedSpecimen",,,"950",,"noch unbestimmt !!!","ICBN","1999-06-19 00:00:00.0","TR","11","Mugla",,,"Asia","B"
"3138","Asteraceae","BGBM","canescens",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 1650m","Achillea","Subspecies","PreservedSpecimen","Magnoliophyta","kotschyi","1650",,"Achillea kotschyi subsp. canescens Bässler","ICBN","1999-08-01 00:00:00.0","TR","1100","Nigde","Bässler","Asterales","Asia","B"
"3139","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum","Variety","PreservedSpecimen","Magnoliophyta","simplex","2650",,"Alyssum simplex var. minus","ICBN","1999-08-01 00:00:00.0","TR","1101","Nigde",,"Capparales","Asia","B"
"3140","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 1650m","Alyssum",,"PreservedSpecimen","Magnoliophyta","aurantiacum","1650",,"Alyssum aurantiacum Boiss.","ICBN","1999-08-01 00:00:00.0","TR","1102","Nigde","Boiss.","Capparales","Asia","B"
"3141","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Dianthus","Variety","PreservedSpecimen","Magnoliophyta","zonatus","2650",,"Dianthus zonatus var. zonatus","ICBN","1999-08-01 00:00:00.0","TR","1103","Nigde",,"Caryophyllales","Asia","B"
"3142","Brassicaceae","BGBM","heterocoma",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Draba","Variety","PreservedSpecimen","Magnoliophyta","bruniifolia","2650",,"Draba bruniifolia var. nana (Stapf) Schulz","ICBN","1999-08-01 00:00:00.0","TR","1104","Nigde","(Stapf) Schulz","Capparales","Asia","B"
"3143","Liliaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Asphodeline",,"PreservedSpecimen","Magnoliophyta","taurica","2650",,"Asphodeline taurica (Pall.) Kunth","ICBN","1999-08-01 00:00:00.0","TR","1105","Nigde","(Pall.) Kunth","Liliales","Asia","B"
"3144","Brassicaceae","BGBM","flexibile",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum","Subspecies","PreservedSpecimen","Magnoliophyta","condensatum","2650",,"Alyssum condensatum subsp. flexibile (Nyár.) Dudley","ICBN","1999-08-01 00:00:00.0","TR","1106","Nigde","(Nyár.) Dudley","Capparales","Asia","B"
"3145","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Festuca","Variety","PreservedSpecimen","Magnoliophyta","pinifolia","2650",,"Festuca pinifolia var. pinifolia","ICBN","1999-08-01 00:00:00.0","TR","1107","Nigde",,"Cyperales","Asia","B"
"3146","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Gypsophila",,"PreservedSpecimen","Magnoliophyta","curvifolia","2650",,"Gypsophila curvifolia Fenzl","ICBN","1999-08-01 00:00:00.0","TR","1108","Nigde","Fenzl","Caryophyllales","Asia","B"
